season,designer,look_number,image_url,caption,source_url
tokyo-spring-2027,Keisukeyoshida,1,https://assets.vogue.com/photos/6a5b1fc43ff8403918fab7bd/master/w_2560%2Cc_limit/00001-keisukeyoshida-spring-2027-ready-to-wear-tokyo-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/tokyo-spring-2027/keisukeyoshida
tokyo-spring-2027,Keisukeyoshida,2,https://assets.vogue.com/photos/6a5b1fc3313defdc94240a25/master/w_2560%2Cc_limit/00002-keisukeyoshida-spring-2027-ready-to-wear-tokyo-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/tokyo-spring-2027/keisukeyoshida
tokyo-spring-2027,Keisukeyoshida,3,https://assets.vogue.com/photos/6a5b1fc3e63308998b690382/master/w_2560%2Cc_limit/00003-keisukeyoshida-spring-2027-ready-to-wear-tokyo-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/tokyo-spring-2027/keisukeyoshida
tokyo-spring-2027,Keisukeyoshida,4,https://assets.vogue.com/photos/6a5b1fc846f909d879d2c895/master/w_2560%2Cc_limit/00004-keisukeyoshida-spring-2027-ready-to-wear-tokyo-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/tokyo-spring-2027/keisukeyoshida
tokyo-spring-2027,Keisukeyoshida,5,https://assets.vogue.com/photos/6a5b1fc8313defdc94240a2b/master/w_2560%2Cc_limit/00005-keisukeyoshida-spring-2027-ready-to-wear-tokyo-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/tokyo-spring-2027/keisukeyoshida
tokyo-spring-2027,Keisukeyoshida,6,https://assets.vogue.com/photos/6a5b1fc8ebc7901f45ff2b6e/master/w_2560%2Cc_limit/00006-keisukeyoshida-spring-2027-ready-to-wear-tokyo-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/tokyo-spring-2027/keisukeyoshida
tokyo-spring-2027,Keisukeyoshida,7,https://assets.vogue.com/photos/6a5b1c84584ee6f3dd305259/master/w_1280%2Cc_limit/00001-keisukeyoshida-spring-2027-ready-to-wear-tokyo-credit-brand.jpg,Tokyo Spring 2027,https://www.vogue.com/fashion-shows/tokyo-spring-2027/keisukeyoshida
tokyo-spring-2027,Keisukeyoshida,8,https://assets.vogue.com/photos/69932a6c53fe5746d1390eb3/master/w_1280%2Cc_limit/00001-keisukeyoshida-fall-2026-ready-to-wear-tokyo-credit-brand.jpg,Tokyo Fall 2026,https://www.vogue.com/fashion-shows/tokyo-spring-2027/keisukeyoshida
tokyo-spring-2027,Keisukeyoshida,9,https://assets.vogue.com/photos/6888898198b4d682b03883ad/master/w_1280%2Cc_limit/00001-keisukeyoshida-spring-2026-ready-to-wear-tokyo-credit-brand.jpg,Tokyo Spring 2026,https://www.vogue.com/fashion-shows/tokyo-spring-2027/keisukeyoshida
tokyo-spring-2027,Keisukeyoshida,10,https://assets.vogue.com/photos/67dbe241beb4fb0082dcaccc/master/w_1280%2Cc_limit/00001-keisukeyoshida-fall-2025-ready-to-wear-tokyo-credit-brand.jpg,Tokyo Fall 2025,https://www.vogue.com/fashion-shows/tokyo-spring-2027/keisukeyoshida
tokyo-spring-2027,Keisukeyoshida,11,https://assets.vogue.com/photos/66df13bc0497b4c106350d68/master/w_1280%2Cc_limit/00001-keisukeyoshida-spring-2025-ready-to-wear-tokyo-credit-brand.jpg,Tokyo Spring 2025,https://www.vogue.com/fashion-shows/tokyo-spring-2027/keisukeyoshida
tokyo-spring-2027,Keisukeyoshida,12,https://assets.vogue.com/photos/65f8122a469ff917edd9bb6d/master/w_1280%2Cc_limit/00001-keisukeyoshida-fall-2024-ready-to-wear-tokyo-credit-brand.jpg,Tokyo Fall 2024,https://www.vogue.com/fashion-shows/tokyo-spring-2027/keisukeyoshida
