season,designer,look_number,image_url,caption,source_url
tokyo-spring-2027,Orimi,1,https://assets.vogue.com/photos/6a9a925baa743506e7efb796/master/w_2560%2Cc_limit/00001-orimi-spring-2027-ready-to-wear-tokyo-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/tokyo-spring-2027/orimi
tokyo-spring-2027,Orimi,2,https://assets.vogue.com/photos/6a9a925c62dbf4bb0fb33949/master/w_2560%2Cc_limit/00002-orimi-spring-2027-ready-to-wear-tokyo-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/tokyo-spring-2027/orimi
tokyo-spring-2027,Orimi,3,https://assets.vogue.com/photos/6a9a925bc363dbc26d433c1d/master/w_2560%2Cc_limit/00003-orimi-spring-2027-ready-to-wear-tokyo-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/tokyo-spring-2027/orimi
tokyo-spring-2027,Orimi,4,https://assets.vogue.com/photos/6a9a925df15d6f2bac6be3ae/master/w_2560%2Cc_limit/00004-orimi-spring-2027-ready-to-wear-tokyo-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/tokyo-spring-2027/orimi
tokyo-spring-2027,Orimi,5,https://assets.vogue.com/photos/6a9a925d996f5e747ad098ea/master/w_2560%2Cc_limit/00005-orimi-spring-2027-ready-to-wear-tokyo-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/tokyo-spring-2027/orimi
tokyo-spring-2027,Orimi,6,https://assets.vogue.com/photos/6a9a925ef26769dd9160d57b/master/w_2560%2Cc_limit/00006-orimi-spring-2027-ready-to-wear-tokyo-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/tokyo-spring-2027/orimi
tokyo-spring-2027,Orimi,7,https://assets.vogue.com/photos/6a9a925f139b07a7c2856296/master/w_2560%2Cc_limit/00007-orimi-spring-2027-ready-to-wear-tokyo-credit-gorunway.jpg,Look 7,https://www.vogue.com/fashion-shows/tokyo-spring-2027/orimi
tokyo-spring-2027,Orimi,8,https://assets.vogue.com/photos/6a9a925f62dbf4bb0fb33950/master/w_2560%2Cc_limit/00008-orimi-spring-2027-ready-to-wear-tokyo-credit-gorunway.jpg,Look 8,https://www.vogue.com/fashion-shows/tokyo-spring-2027/orimi
tokyo-spring-2027,Orimi,9,https://assets.vogue.com/photos/6a9a929d05b71ec6537b8f68/master/w_1280%2Cc_limit/00001-orimi-spring-2027-ready-to-wear-tokyo-credit-gorunway.jpg,Tokyo Spring 2027,https://www.vogue.com/fashion-shows/tokyo-spring-2027/orimi
tokyo-spring-2027,Orimi,10,https://assets.vogue.com/photos/68bc296ed026177a2e9fd8ae/master/w_1280%2Cc_limit/00001-orimi-spring-2026-ready-to-wear-tokyo-credit-gorunway.jpg,Tokyo Spring 2026,https://www.vogue.com/fashion-shows/tokyo-spring-2027/orimi
