season,designer,look_number,image_url,caption,source_url
tokyo-spring-2027,Tamme,1,https://assets.vogue.com/photos/6a9188f14dac35b5fe543721/master/w_2560%2Cc_limit/00001-tamme-spring-2027-ready-to-wear-tokyo-credit-brand.jpg,Look 1,https://www.vogue.com/fashion-shows/tokyo-spring-2027/tamme
tokyo-spring-2027,Tamme,2,https://assets.vogue.com/photos/6a9188f1d7b159aedf41d7e3/master/w_2560%2Cc_limit/00002-tamme-spring-2027-ready-to-wear-tokyo-credit-brand.jpg,Look 2,https://www.vogue.com/fashion-shows/tokyo-spring-2027/tamme
tokyo-spring-2027,Tamme,3,https://assets.vogue.com/photos/6a9188f157b45fe2ae2eafdf/master/w_2560%2Cc_limit/00003-tamme-spring-2027-ready-to-wear-tokyo-credit-brand.jpg,Look 3,https://www.vogue.com/fashion-shows/tokyo-spring-2027/tamme
tokyo-spring-2027,Tamme,4,https://assets.vogue.com/photos/6a9188f3d2d2d92c06883468/master/w_2560%2Cc_limit/00004-tamme-spring-2027-ready-to-wear-tokyo-credit-brand.jpg,Look 4,https://www.vogue.com/fashion-shows/tokyo-spring-2027/tamme
tokyo-spring-2027,Tamme,5,https://assets.vogue.com/photos/6a9188f3ed3560650e95920c/master/w_2560%2Cc_limit/00005-tamme-spring-2027-ready-to-wear-tokyo-credit-brand.jpg,Look 5,https://www.vogue.com/fashion-shows/tokyo-spring-2027/tamme
tokyo-spring-2027,Tamme,6,https://assets.vogue.com/photos/6a9188f37b21cb78102fa346/master/w_2560%2Cc_limit/00006-tamme-spring-2027-ready-to-wear-tokyo-credit-brand.jpg,Look 6,https://www.vogue.com/fashion-shows/tokyo-spring-2027/tamme
tokyo-spring-2027,Tamme,7,https://assets.vogue.com/photos/6a9188deaa1313f58deca56c/master/w_1280%2Cc_limit/00001-tamme-spring-2027-ready-to-wear-tokyo-credit-brand.jpg,Tokyo Spring 2027,https://www.vogue.com/fashion-shows/tokyo-spring-2027/tamme
tokyo-spring-2027,Tamme,8,https://assets.vogue.com/photos/69b4268a0d347938a224f5c8/master/w_1280%2Cc_limit/00001-tamme-fall-2026-menswear-tokyo-credit-brand.jpg,Tokyo Fall 2026,https://www.vogue.com/fashion-shows/tokyo-spring-2027/tamme
tokyo-spring-2027,Tamme,9,https://assets.vogue.com/photos/68ac2fb5294f105c99796d54/master/w_1280%2Cc_limit/00001-tamme-spring-2026-menswear-tokyo-details-credit-brand.jpg,Tokyo Spring 2026,https://www.vogue.com/fashion-shows/tokyo-spring-2027/tamme
tokyo-spring-2027,Tamme,10,https://assets.vogue.com/photos/67ded1f30fc8d91f8388389c/master/w_1280%2Cc_limit/00001-tamme-fall-2025-ready-to-wear-tokyo-credit-gorunway.jpg,Tokyo Fall 2025,https://www.vogue.com/fashion-shows/tokyo-spring-2027/tamme
