season,designer,look_number,image_url,caption,source_url
tokyo-spring-2027,Yoshio Kubo,1,https://assets.vogue.com/photos/6a9537a899e8cc642923859d/master/w_2560%2Cc_limit/00001-yoshiokubo-spring-2027-ready-to-wear-tokyo-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/tokyo-spring-2027/yoshio-kubo
tokyo-spring-2027,Yoshio Kubo,2,https://assets.vogue.com/photos/6a9537a9bdd880c7f2d11ad8/master/w_2560%2Cc_limit/00002-yoshiokubo-spring-2027-ready-to-wear-tokyo-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/tokyo-spring-2027/yoshio-kubo
tokyo-spring-2027,Yoshio Kubo,3,https://assets.vogue.com/photos/6a9537abb50d306e3ff36715/master/w_2560%2Cc_limit/00003-yoshiokubo-spring-2027-ready-to-wear-tokyo-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/tokyo-spring-2027/yoshio-kubo
tokyo-spring-2027,Yoshio Kubo,4,https://assets.vogue.com/photos/6a9537ad2d06d5aaff473636/master/w_2560%2Cc_limit/00004-yoshiokubo-spring-2027-ready-to-wear-tokyo-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/tokyo-spring-2027/yoshio-kubo
tokyo-spring-2027,Yoshio Kubo,5,https://assets.vogue.com/photos/6a9537ae0d53b6804922c3c0/master/w_2560%2Cc_limit/00005-yoshiokubo-spring-2027-ready-to-wear-tokyo-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/tokyo-spring-2027/yoshio-kubo
tokyo-spring-2027,Yoshio Kubo,6,https://assets.vogue.com/photos/6a9537b0ce314a068aa0c904/master/w_2560%2Cc_limit/00006-yoshiokubo-spring-2027-ready-to-wear-tokyo-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/tokyo-spring-2027/yoshio-kubo
tokyo-spring-2027,Yoshio Kubo,7,https://assets.vogue.com/photos/6a9537b22f50a980a9dbea7d/master/w_2560%2Cc_limit/00007-yoshiokubo-spring-2027-ready-to-wear-tokyo-credit-gorunway.jpg,Look 7,https://www.vogue.com/fashion-shows/tokyo-spring-2027/yoshio-kubo
tokyo-spring-2027,Yoshio Kubo,8,https://assets.vogue.com/photos/6a9537b35acb54001d56c329/master/w_2560%2Cc_limit/00008-yoshiokubo-spring-2027-ready-to-wear-tokyo-credit-gorunway.jpg,Look 8,https://www.vogue.com/fashion-shows/tokyo-spring-2027/yoshio-kubo
tokyo-spring-2027,Yoshio Kubo,9,https://assets.vogue.com/photos/6a9537a899e8cc642923859d/master/w_1280%2Cc_limit/00001-yoshiokubo-spring-2027-ready-to-wear-tokyo-credit-gorunway.jpg,Tokyo Spring 2027,https://www.vogue.com/fashion-shows/tokyo-spring-2027/yoshio-kubo
tokyo-spring-2027,Yoshio Kubo,10,https://assets.vogue.com/photos/56eb38aec8474b662ee99eb8/master/w_1280%2Cc_limit/yoshio_kubo_aw16_0008.jpg,Tokyo Fall 2016,https://www.vogue.com/fashion-shows/tokyo-spring-2027/yoshio-kubo
tokyo-spring-2027,Yoshio Kubo,11,https://assets.vogue.com/photos/561e830068e1c5713a4fb4b0/master/w_1280%2Cc_limit/yoshio_kubo_ss16_0018.jpg,Tokyo Spring 2016,https://www.vogue.com/fashion-shows/tokyo-spring-2027/yoshio-kubo
tokyo-spring-2027,Yoshio Kubo,12,https://assets.vogue.com/photos/55c650b508298d8be214d00e/master/w_1280%2Cc_limit/Yoshio-Kubo-001-1366.jpg,Tokyo Fall 2015,https://www.vogue.com/fashion-shows/tokyo-spring-2027/yoshio-kubo
tokyo-spring-2027,Yoshio Kubo,13,https://assets.vogue.com/photos/55c6511408298d8be21b2db7/master/w_1280%2Cc_limit/yoshio_kubo_001_1366.1366x2048.JPG,Fall 2013 Ready-to-Wear,https://www.vogue.com/fashion-shows/tokyo-spring-2027/yoshio-kubo
tokyo-spring-2027,Yoshio Kubo,14,https://assets.vogue.com/photos/55c650fd08298d8be2199385/master/w_1280%2Cc_limit/YKUBO001.1366x2048.JPG,Spring 2013 Ready-to-Wear,https://www.vogue.com/fashion-shows/tokyo-spring-2027/yoshio-kubo
